GRBa	GRB X-ray position	Error	Instrument	IPNb	XAb	OTb	RAb	IAUC	zc
140810A	07h56m10s +27° 33'	7	Fermi	y	 	 	 	 	 
140809A	11h15m14s +71° 01'	360	Fermi	 	 	y	 	 	 
140808A	14h26m05s +48° 36'	220	Fermi	y	y?	y	 	 	3.29
140801A	03h01m00s -30° 53'	240	Fermi	y	 	y	 	 	1.32
140730A	03h45m43s -66° 32'	3	Swift	 	y	 	 	 	 
140729A	12h55m48s +15° 21'	20	Fermi	y	 	 	 	 	 
140723A	14h02m31s -03° 44'	21	Fermi	y	 	 	 	 	 
140719B	02h38m57s -02° 23'	3	Swift	 	 	 	 	 	 
140719A	11h26m22s -50° 08'	3	Swift	 	y	?	 	 	 
140716A	07h12m32s -60° 09'	1.5	Swift	y	y	y	 	 	 
140713A	18h44m27s +59° 37'	3	Swift	y	y	 	y	 	 
140710B	13h38m40s -58° 33'	3	INTEGRAL	y	 	 	 	 	 
140710A	02h44m21s +35° 30'	3	Swift	y	y	y	 	 	0.558
140709B	09h44m17s +63° 30'	3	Swift	y	y	 	 	 	 
140709A	20h18m33s +51° 13'	3	Swift	 	y	y?	 	 	 
140706A	03h17m13s -38° 04'	3	Swift	 	y	y	 	 	 
140703A	00h51m58s +45° 06'	3	Swift	y	y	y	y	 	3.14
140629A	16h35m56s +41° 53'	3	Swift	y	y	y	 	 	2.275
140628A	02h42m39s -00° 22'	3	Swift	 	y	y	 	 	 
140626A	05h09m24s -82° 38'	3	Swift	 	y	y	 	 	 
140623A	13h13m00s +75° 48'	336	Fermi	y	y	y	 	 	1.92
140622AS	21h08m37s -14° 26'	3	Swift	 	y	 	 	 	0.959?
140621A	04h53m07s +14° 39'	43*17	IPN	 	 	 	 	 	 
140620A	18h47m29s +49° 44'	120	Fermi	y	y	y	 	 	2.04
140619C	15h32m04s -25° 36'	138*26	IPN	y	 	 	 	 	 
140619BS	08h50m43s -09° 40'	4	Fermi	y	 	 	 	 	 
140619A	01h48m22s -39° 16'	3	Swift	y	y	y	 	 	 
140614B	21h30m30s +14° 55'	3	Swift	 	y	 	 	 	 
140614A	15h24m56s -79° 06'	3	Swift	 	y	y	 	 	4.233
140611AS	23h19m43s -40° 05'	84*16	IPN	y	y?	 	 	 	 
140610A	19h05m02s +03° 54'	3	Swift	y	y	 	 	 	 
140607A	05h45m31s +18° 55'	3	Swift	 	 	 	 	 	 
140606B	21h51m00s +33° 41'	180	Fermi	y	y	y	 	 	0.384
140606AS	13h27m14s +37° 35'	3	Swift	 	n	 	 	 	 
140604AS	17h32m41s -40° 24'	76*31	IPN	 	 	 	 	 	 
140529A	15h15m16s -41° 03'	3	Swift	y	 	 	 	 	 
140528A	18h42m55s -58° 45'	57*24	IPN	y	 	 	 	 	 
140523A	08h53m12s +24° 57'	24	Fermi	y	 	 	 	 	 
140521A	21h20m03s +67° 36'	3	Swift	y	 	 	 	 	 
140518A	15h08m55s +42° 24'	3	Swift	 	y	y	 	 	4.707
140516AS	16h51m57s +39° 55'	3	Swift	 	y	 	 	 	 
140515B	19h17m52s -11° 00'	60	MAXI	 	 	 	 	 	 
140515A	12h24m09s +15° 05'	3	Swift	 	y	y	y	 	6.32
140512A	19h17m29s -15° 06'	3	Swift	y	y	y	 	 	0.725
140509B	20h52m29s +21° 09'	60	MAXI	 	 	 	 	 	 
140509A	03h06m26s -62° 39'	3	Swift	 	y	y	y	 	2.4ph
140508A	17h02m31s +46° 45'	90*12	Fermi	y	y	y	 	 	1.027
140506A	18h27m10s -55° 34'	3	Swift	y	y	y	 	 	0.889
140502A	21h16m37s +49° 01'	3	Swift	y	y	 	 	 	 
140430A	06h51m43s +23° 01'	3	Swift	 	y	y	 	 	1.60
140428A	12h57m22s +28° 21'	3	Swift	 	y	y	 	 	4.7
140423A	13h09m10s +49° 49'	3	Swift	y	y	y	 	 	3.26
140419A	08h28m00s +46° 13'	3	Swift	y	y	y	y	 	3.956
140416A	02h21m36s +43° 54'	1548*10	IPN	y	 	 	 	 	 
140414AS	13h01m14s +56° 54'	3	Swift	 	 	 	 	 	 
140413A	04h21m48s -51° 12'	3	Swift	 	y	y	 	 	 
140412A	09h40m12s -65° 49'	3	Swift	 	y	 	 	 	 
140408A	19h22m44s -12° 35'	3	Swift	 	y	?	 	 	 
140402AS	13h49m53s +05° 52'	12	Fermi	y	 	 	 	 	 
140331A	08h59m23s +02° 42'	3	Swift	 	y	y	 	 	 
140330A	21h52m16s -57° 45'	118*17	IPN	 	 	 	 	 	 
140329A	09h44m59s -32° 06'	53*12	IPN	 	 	 	 	 	 
140323A	23h47m33s -79° 55'	3	Swift	y	y	 	 	 	 
140320D	05h51m34s +85° 26'	208*12	IPN	y	 	 	 	 	 
140320C	08h57m32s +71° 12'	3.2	INTEGRAL	 	y	y	 	 	 
140320B	09h42m16s +60° 15'	3.2	INTEGRAL	 	y	y	 	 	 
140320AS	18h46m36s -02° 42'	3	Swift	y	y	 	 	 	 
140318A	12h16m13s +20° 12'	3	Swift	 	y	y	 	 	1.02
140311B	16h49m10s +52° 45'	3	Swift	y	y	y	 	 	 
140311A	13h57m12s +00° 37'	3	Swift	 	y	y	y	 	4.954
140308A	23h50m15s -33° 21'	56*11	IPN	y	 	 	 	 	 
140306A	01h51m46s +48° 59'	59*20	IPN	y	 	 	 	 	 
140305A	22h58m08s +15° 26'	3	Swift	 	 	 	 	 	 
140304A	02h02m40s +33° 29'	3	Swift	y	y	y	y	 	5.283
140302A	16h55m22s -12° 52'	3	Swift	y	y	y	 	 	 
140301A	04h38m11s -34° 17'	3	Swift	 	y	y	 	 	1.416
140226A	14h45m58s +15° 00'	0.1	iPTF	y	y	y	 	 	1.98
140221A	07h09m47s -17° 20'	24	MAXI	y	 	 	 	 	 
140219A	10h25m46s +07° 28'	334*22	IPN	y	 	 	 	 	 
140215A	06h56m33s +41° 47'	3	Swift	y	y	y	 	 	 
140213A	07h00m52s -73° 08'	3	Swift	y	y	y	 	 	1.2076
140211A	08h16m55s +20° 15'	3	Swift	 	 	 	 	 	 
140209A	05h25m20s +32° 29'	3	Swift	y	 	y	 	 	 
140206A	09h41m24s +66° 45'	3	Swift	y	y	y	 	 	2.73
140129B	21h47m03s +26° 12'	3	Swift	 	y	y	 	 	 
140129A	02h31m29s -01° 35'	3	Swift	 	y	y	 	 	 
140118A	22h04m01s -17° 57'	3	Swift	y	 	 	 	 	 
140114A	12h33m56s +12° 35'	3	Swift	 	y	y	 	 	3.0
140110A	01h55m36s -36° 16'	30	Fermi	y	n	 	 	 	 
140108A	21h40m43s +58° 46'	3	Swift	y	y	y	 	 	 
140104B	14h35m14s -08° 54'	13	Fermi	y	n	 	 	 	 
140103A	15h28m31s +37° 45'	3	Swift	 	y	 	 	 	 
140102A	14h07m37s +01° 20'	3	Swift	y	y	y	 	 	 
131231A	00h42m20s -01° 51'	9	Fermi	y	y	y	 	 	0.642
131229A	05h40m57s -04° 26'	3	Swift	y	y	 	 	 	 
131227A	04h29m31s +28° 53'	3	Swift	 	y	y	 	 	5.3?
131226A	20h05m14s -64° 58'	3	Swift	y	 	 	 	 	 
131225A	06h20m09s +05° 19'	60	MAXI	 	 	 	 	 	 
131224A	19h47m20s +31° 40'	2.0	INTEGRAL	 	n	 	n	 	 
131218A	07h35m12s -64° 43'	2.8	INTEGRAL	 	n	n	 	 	 
131216A	06h18m42s -41° 38'	12*570	Fermi	y	 	 	 	 	 
131215A	17h16m07s -07° 35'	60	MAXI	 	 	 	 	 	 
131209A	09h06m00s -33° 12'	54	Fermi	y	n	 	 	 	 
131205A	08h46m26s -60° 10'	3	Swift	 	y	y	 	 	 
131202A	22h56m13s -21° 39'	3	Swift	y	y	y	 	 	 
131128A	23h41m18s +31° 17'	3	Swift	y	y	y	 	 	 
131127A	22h11m00s +36° 35'	3	Swift	 	y	 	 	 	 
131122A	10h10m13s +57° 44'	1.6	INTEGRAL	 	y	 	 	 	 
131120A	18h35m41s -12° 00'	3	Swift	 	 	 	 	 	 
131118A	23h19m27s -66° 50'	60	Fermi	y	 	 	 	 	 
131117A	22h09m21s -31° 43'	3	Swift	 	y	y	 	 	4.042
131108A	10h25m53s +09° 54'	30	Fermi	y	y	y	y	 	2.40
131105A	04h44m03s -62° 59'	3	Swift	y	y	y	 	 	1.686
131103A	23h15m49s -44° 40'	3	Swift	 	y	y	 	 	0.599
131031A	01h58m28s -01° 36'	3	Swift	y	y	y	 	 	 
131030A	23h00m19s -05° 23'	3	Swift	y	y	y	 	 	1.295
131029A	13h23m08s +48° 18'	16	Fermi	y	 	 	 	 	 
131028A	04h04m54s +71° 36'	72*348	Fermi	y	 	 	 	 	 
131026A	01h02m11s +32° 29'	3	Swift	 	 	 	 	 	 
131024B	09h37m37s +44° 14'	3	Swift	y	y	 	 	 	 
131024A	19h21m51s -64° 36'	3	Swift	 	y	 	 	 	 
131018B	20h18m06s +23° 04'	8	Fermi	y	y	 	 	 	 
131018A	06h33m51s -19° 53'	3	Swift	 	y	 	 	 	 
131014A	06h41m12s -19° 06'	55	Fermi	y	y	 	 	 	 
131011A	01h27m41s +09° 33'	315	Fermi	y	y	y	 	 	1.874
131004A	19h44m36s -02° 58'	3	Swift	y	y	y	 	 	0.717
131002B	05h00m15s -75° 44'	3	Swift	 	y	 	 	 	 
131002A	16h53m06s +82° 03'	3	Swift	y	y	y	 	 	 
131001A	00h33m12s +25° 33'	3	Swift	 	 	 	 	 	 
130930A	12h42m39s -35° 30'	3	Swift	 	 	 	 	 	 
130929A	09h00m17s -47° 34'	3	Swift	 	y	 	 	 	 
130925A	02h44m44s -26° 08'	3	Swift	y	y	y	 	 	0.347
130919A	13h49m09s -10° 21'	3	Swift	 	 	 	 	 	 
130913A	22h47m50s +01° 18'	3.3	Swift	 	 	 	 	 	 
130912AS	03h10m28s +13° 58'	3	Swift	y	y	y	n	 	 
130907A	14h23m31s +45° 37'	3	Swift	y	y	y	y	 	1.238
130903A	05h28m33s -00° 07'	2.6	INTEGRAL	y	y	y	 	 	 
130831B	12h49m47s -29° 11'	3	Swift	 	y	 	 	 	 
130831A	23h54m36s +29° 27'	3	Swift	y	y	y	 	 	0.4791
130829A	12h09m42s +46° 31'	3	Swift	 	 	 	 	 	 
130828A	17h19m19s +28° 00'	18	Fermi	y	 	 	 	 	 
130822AS	01h51m46s -03° 13'	3	Swift	 	y	n	n	 	 
130821A	20h56m24s -12° 00'	6	Fermi	y	?	 	 	 	 
130816B	11h20m22s -57° 33'	3	Swift	 	y	y	 	 	 
130816A	13h08m40s -58° 57'	3	Swift	y	y	y	 	 	 
130812B	00h29m37s -79° 11'	66*8	IPN	y	 	 	 	 	 
130812A	06h09m37s -13° 18'	3	Swift	 	y	 	 	 	 
130807A	17h59m12s -27° 37'	3	Swift	 	y	 	 	 	 
130806A	02h23m29s +67° 32'	3	Swift	 	y	 	 	 	 
130804A	20h14m37s -79° 35'	948*3	IPN	y	 	 	 	 	 
130803A	14h40m58s -02° 28'	3	Swift	y	y	 	 	 	 
130727A	22h03m12s -65° 34'	3	Swift	y	y	y	 	 	 
130725B	14h16m58s -11° 08'	3	Swift	 	y	 	 	 	 
130725A	15h20m08s +00° 38'	3	Swift	 	y	 	 	 	 
130722A	17h22m41s -02° 59'	3	Swift	 	y	y	 	 	 
130719A	05h56m09s -11° 35'	3	Swift	 	 	 	 	 	 
130716AS	11h58m18s +63° 03'	3	Swift	y	y	 	 	 	 
130708A	14h29m15s +15° 46'	3	Swift	y	 	 	 	 	 
130702A	15h12m36s +16° 35'	412	Fermi	y	y	y	y	 	0.145
130701A	23h48m52s +36° 06'	3	Swift	y	y	y	 	 	1.155
130627B	12h07m44s -55° 44'	3	Swift	 	y	 	 	 	 
130627A	12h17m47s -37° 05'	3	Swift	y	y	 	 	 	 
130626A	18h12m31s -09° 32'	3	Swift	 	n	 	 	 	 
130625A	22h53m04s +82° 11'	3	Swift	 	y	 	 	 	 
130623A	01h22m53s -77° 47'	3	Swift	 	y	y	 	 	 
130615A	18h19m23s -68° 10'	3	Swift	 	y	y	 	 	 
130612A	17h19m13s +16° 42'	3	Swift	y	y	y	 	 	2.006
130610B	11h45m26s -32° 11'	103*18	IPN	y	 	 	 	 	 
130610A	14h57m40s +28° 11'	3	Swift	y	y	y	 	 	2.092
130609B	03h35m01s -40° 09'	3	Swift	y	y	y	 	 	 
130609A	10h10m42s +24° 06'	3	Swift	y	y	 	n	 	 
130608A	01h38m19s +41° 30'	3	Swift	 	y	 	 	 	 
130606B	14h34m18s -22° 08'	12	Fermi	y	 	 	 	 	 
130606A	16h37m37s +29° 47'	3	Swift	y	y	y	y	 	5.913
130605A	08h58m06s -33° 29'	3	Swift	y	y	y	 	 	 
130604A	16h40m19s +68° 13'	3	Swift	 	y	y	 	 	1.06?
130603BS	11h28m50s +17° 03'	3	Swift	 	y	y	y	 	0.3564
130603A	05h47m49s +82° 56'	3	Swift	 	y	y	 	 	 
130529A	01h37m02s -64° 08'	3	Swift	 	y	 	 	 	 
130528A	09h15m39s +87° 17'	3	Swift	y	y	 	 	 	 
130527A	20h37m07s -24° 44'	3	Swift	y	y	 	 	 	 
130521B	18h46m34s +22° 43'	55*4	IPN	y	 	 	 	 	 
130521A	05h50m14s +14° 27'	3	Swift	 	 	 	 	 	 
130518B	21h26m13s -20° 09'	3	Swift	 	 	 	 	 	 
130518A	23h43m14s +47° 38'	20	Fermi	y	y	y	 	 	2.488
130515AS	18h53m41s -54° 17'	3	Swift	y	y	 	 	 	 
130514B	09h50m26s -18° 58'	3	INTEGRAL	 	y	 	 	 	 
130514A	19h45m06s -07° 57'	3	Swift	 	y	y	 	 	3.6ph
130513A	09h38m59s -05° 14'	3	INTEGRAL	 	y	 	 	 	 
130511A	13h06m33s +18° 42'	3	Swift	 	y	y	 	 	1.3033
130508A	20h21m15s +34° 57'	3	Swift	 	y	 	 	 	 
130505A	09h08m14s +17° 29'	3	Swift	y	y	y	 	 	2.27
130504C	06h06m52s +03° 51'	18	Fermi	y	y	 	 	 	 
130504BS	23h11m49s -05° 44'	90*2.9	Fermi	y	 	 	 	 	 
130504A	18h09m27s -16° 21'	3	Swift	 	y	 	 	 	 
130502B	04h26m36s +71° 05'	11	Fermi	y	y	 	 	 	 
130502A	09h14m19s -00° 09'	3	Swift	y	y	y	 	 	 
130427B	20h59m34s -22° 32'	3	Swift	 	y	y	 	 	2.78
130427A	11h32m33s +27° 41'	3	Swift	y	y	y	y	 	0.3399
130420B	12h12m29s +54° 23'	3	Swift	y	y	 	 	 	 
130420A	13h04m24s +59° 25'	3	Swift	y	y	y	 	 	1.297
130419A	23h41m05s +09° 59'	3	Swift	 	 	 	 	 	 
130418A	09h56m10s +13° 39'	3	Swift	y	y	y	n	 	1.218
130408A	08h57m36s -32° 22'	3	Swift	y	y	y	 	 	3.757
130407A	16h32m23s +10° 31'	15	MAXI	y	n	 	 	 	 
130327B	14h32m22s -69° 31'	10	AGILE	y	y?	 	 	 	 
130327A	06h07m58s +55° 44'	3	Swift	 	y	 	 	 	 
130325A	08h11m07s -18° 54'	15	Fermi	y	 	 	 	 	 
130315A	10h30m10s -51° 49'	3	Swift	 	y	y	 	 	 
130313AS	15h45m42s -00° 22'	3	Swift	 	y	 	 	 	 
130310A	09h29m21s -17° 14'	27	Fermi	y	 	 	 	 	 
130306A	18h37m55s -11° 41'	3	Swift	y	y	 	 	 	 
130305A	07h47m04s +52° 01'	3	Swift	y	y	 	 	 	 
130216B	03h55m30s +02° 02'	2	Swift	y	n	 	 	 	 
130216A	04h31m36s +14° 40'	3	Swift	y	n	 	 	 	 
130215A	02h53m55s +13° 22'	3	Swift	y	 	y	 	 	0.597
130211A	09h50m05s -42° 20'	3	Swift	 	y	 	 	 	 
130206A	09h21m30s -58° 10'	3	Swift	y	y	 	 	 	 
130131B	11h35m48s +15° 02'	3	Swift	 	y	 	 	 	2.539
130131A	11h24m26s +48° 04'	3	Swift	 	y	y	y	 	 
130122A	12h56m52s +59° 01'	3	Swift	 	y	y	 	 	 
130102B	20h43m37s -72° 05'	60	MAXI	y	 	 	 	 	 
130102A	20h45m51s +49° 50'	3	Swift	 	y	 	 	 	 
121229A	12h40m24s -50° 36'	3	Swift	y	y	y	 	 	2.707
121226AS	11h14m38s -30° 25'	3	Swift	 	y	 	y	 	 
121225B	20h35m39s -34° 21'	444*12	Fermi	y	 	 	 	 	 
121225A	17h39m27s -66° 04'	17	MAXI	 	 	 	 	 	 
121217A	10h14m54s -62° 18'	3	Swift	y	y	y	 	 	 
121212A	11h51m22s +78° 02'	3	Swift	y	y	y	 	 	<2
121211A	13h02m11s +30° 10'	3	Swift	y	y	y	 	 	1.023
121209A	21h47m12s -08° 15'	3	Swift	y	y	y	 	 	2.1
121202A	17h07m16s +23° 57'	3	Swift	y	y	 	 	 	 
121201A	00h53m57s -42° 57'	3	Swift	 	y	y	 	 	3.385
121128A	20h02m20s +54° 19'	3	Swift	y	y	y	 	 	2.20
121127A	11h45m45s -52° 25'	29*9	IPN	y	 	 	 	 	 
121125A	15h14m05s +55° 19'	3	Swift	y	y	 	 	 	 
121123A	20h29m27s -11° 52'	3	Swift	y	y	y	 	 	 
121118B	11h26m49s -03° 04'	258*66	IPN	y	 	 	 	 	 
121118A	19h57m31s +65° 39'	300*66	IPN	y	 	 	 	 	 
121117A	02h06m32s +07° 23'	3	Swift	 	y	y	 	 	 
121108A	05h32m45s +54° 29'	3	Swift	 	y	 	 	 	 
121102A	18h03m37s -16° 58'	3	Swift	y	y	 	 	 	 
121031A	11h23m05s -03° 31'	3	Swift	y	y	 	 	 	 
121028A	18h07m42s -02° 17'	3	Swift	 	y	 	 	 	 
121027A	04h14m26s -58° 48'	3	Swift	y	y	y	 	 	1.773
121025A	16h35m00s +27° 44'	18	MAXI	 	y	 	 	 	 
121024A	04h41m52s -12° 16'	3	Swift	 	y	y	 	 	2.298
121017A	19h15m16s -01° 36'	3	Swift	 	y	 	 	 	 
121014A	11h06m31s -29° 07'	3	Swift	 	 	 	 	 	 
121011A	17h20m48s +41° 08'	3	Swift	y	y	y	 	 	 
121001A	18h24m08s -05° 40'	3	Swift	 	y	y	 	 	 
120927A	09h06m24s +00° 25'	3	Swift	 	y	 	 	 	 
120923A	20h15m11s +06° 14'	3	Swift	 	y	y	n	 	7.8
120922A	15h39m01s -20° 11'	3	Swift	y	y	y	 	 	3.1ph
120919B	20h10m32s -37° 29'	94*5	IPN	y	 	 	 	 	 
120919A	14h19m04s -45° 34'	31*8	Fermi	y	 	 	 	 	 
120918A	12h04m13s -32° 45'	3	Swift	 	 	 	 	 	 
120916A	13h42m31s +36° 42'	205*5	Fermi	y	 	 	 	 	 
120913B	14h14m35s -14° 32'	3	Swift	y	 	y	 	 	 
120913A	09h45m45s +26° 59'	3	Swift	y	 	 	 	 	 
120911B	11h28m35s -37° 42'	129*11	IPN	y	 	 	 	 	 
120911A	23h51m51s +63° 06'	3	Swift	y	y	 	 	 	 
120909A	18h22m44s -59° 26'	3	Swift	y	y	y	 	 	3.93
120908A	15h23m06s -25° 30'	60	MAXI	y	n	 	 	 	 
120907A	04h58m58s -09° 18'	3	Swift	 	y	y	 	 	0.970
120830A	05h54m36s -28° 59'	47*5	Fermi	y	 	 	 	 	 
120821A	17h01m05s -40° 31'	2	INTEGRAL	 	 	 	 	 	 
120819A	15h43m33s -07° 08'	3	Swift	 	y	y	 	 	 
120817BS	00h33m17s -26° 31'	38*14	IPN	y	 	n	 	 	 
120817A	16h42m49s -38° 20'	3	Swift	 	y	n	 	 	 
120816BS	22h29m48s -01° 37'	455*80	IPN	y	 	 	 	 	 
120816A	18h48m30s -06° 59'	3	Swift	 	y	y	 	 	 
120815A	18h15m40s -52° 08'	3	Swift	 	y	y	 	 	2.358
120811C	13h18m50s +62° 17'	3	Swift	y	y	y	 	 	2.671
120811BS	02h54m53s -30° 14'	84*9	IPN	y	y	 	 	 	 
120811A	17h08m44s -22° 44'	3	Swift	 	y	 	 	 	 
120807A	16h04m51s -47° 29'	3	Swift	 	y	 	 	 	 
120805A	14h26m08s +05° 48'	3	Swift	 	y	y	 	 	3.1
120804AS	15h35m43s -28° 46'	3	Swift	 	y	y?	y?	 	 
120803B	20h56m54s +53° 17'	3	Swift	 	y	y?	 	 	 
120803A	17h58m16s -06° 43'	3	Swift	 	y	 	 	 	 
120802A	02h59m24s +13° 45'	3	Swift	 	y	y?	n	 	3.796
120729A	00h52m13s +49° 56'	3	Swift	 	y	y	n	 	0.80
120728A	09h08m24s -54° 26'	3	Swift	y	y	y	 	 	 
120724A	16h20m46s +03° 31'	3	Swift	 	y	y	 	 	1.48
120722A	15h21m58s +13° 15'	3	Swift	 	y	y	 	 	0.9586
120716A	20h52m21s +09° 33'	121*30	IPN	y	y	y	 	 	2.486
120714B	23h41m44s -46° 11'	3	Swift	 	y	y	 	CBET 3200	0.3984
120714A	11h11m53s -30° 38'	3	Swift	 	y	 	 	 	 
120712A	11h18m25s -20° 04'	3	Swift	 	y	y	 	 	4.1745
120711B	22h06m40s +60° 01'	3	Swift	 	y	 	 	 	 
120711A	06h18m49s -71° 01'	3	Swift	y	y	y	 	 	1.405
120709A	21h13m38s -50° 02'	21	Fermi	y	 	 	 	 	 
120703A	22h37m26s -29° 44'	3	Swift	y	y	y	 	 	 
120701A	05h21m21s -58° 32'	3	Swift	 	y	y	 	 	 
120630AS	23h29m11s +42° 33'	3	Swift	 	y	y	 	 	 
120624B	11h23m46s +08° 56'	3	Fermi	y	y	 	 	 	2.1974
120622A	13h41m43s -01° 43'	20	MAXI	 	 	 	 	 	 
120612A	08h26m54s -17° 35'	3	Swift	 	y	 	 	 	 
120522A	11h03m59s -62° 06'	19*7	IPN	y	 	 	 	 	 
120521C	14h17m09s +42° 07'	3	Swift	 	y	y	y	 	6.0
120521B	13h08m03s -52° 45'	3	Swift	y	y	 	 	 	 
120521AS	09h54m46s -49° 25'	3	Swift	 	y	 	 	 	 
120514A	18h51m58s -04° 15'	3	Swift	y	y	 	 	 	 
120510A	02h57m09s +72° 51'	3	MAXI	y	y?	 	 	 	 
120426A	07h26m09s -65° 38'	108*12	IPN	y	 	 	 	 	 
120424A	01h35m56s -29° 53'	22	MAXI	 	 	 	 	 	 
120422A	09h07m43s +14° 00'	3	Swift	 	y	y	 	 	0.283
120419A	12h29m29s -63° 02'	3	INTEGRAL	 	y?	 	 	 	 
120404A	15h40m03s +12° 53'	3	Swift	 	y	y	y	 	2.876
120403B	03h39m14s -89° 02'	3	Swift	y	y	 	 	 	 
120403AS	02h49m50s +40° 28'	3	Swift	 	 	 	 	 	 
120401A	03h52m16s -17° 40'	3	Swift	 	y	 	 	 	 
120328A	16h06m12s -39° 20'	3	Swift	 	y	 	 	 	 
120327A	16h27m19s -29° 25'	3	Swift	 	y	y	 	 	2.813
120326A	18h15m42s +69° 17'	3	Swift	y	y	y	y	 	1.798
120325A	11h55m17s +73° 11'	3	Swift	 	 	 	 	 	 
120324A	19h24m20s +24° 09'	3	Swift	y	y	 	 	 	 
120323A	22h41m38s +29° 43'	45*6	Fermi	y	 	 	 	 	 
120320A	14h10m09s +08° 41'	3	Swift	 	y	?	 	 	 
120312A	16h47m03s +23° 51'	3	Swift	 	y	y	 	 	 
120311B	17h14m00s -13° 04'	3	Swift	 	y	 	 	 	 
120311A	18h12m21s +14° 17'	3	Swift	 	y	y	 	 	<3
120308A	14h36m19s +79° 42'	3	Swift	 	y	y	 	 	<4.5
120305AS	03h10m11s +28° 30'	3	Swift	 	y	 	n	 	 
120302A	08h09m48s +29° 40'	3	Swift	 	y?	y?	 	 	 
120229AS	01h20m08s -35° 48'	3	Swift	 	 	 	 	 	 
120226A	20h11m43s +48° 40'	366*12	IPN	y	 	 	 	 	 
120224A	02h43m54s -17° 48'	3	Swift	 	y	 	 	 	1.1
120219A	08h39m10s +51° 01'	3	Swift	 	y	y	 	 	 
120218A	21h19m02s -25° 27'	3	Swift	y	 	 	 	 	 
120215A	02h00m08s +08° 47'	3	Swift	 	y	 	 	 	 
120213A	20h04m08s +65° 24'	3	Swift	 	y	 	 	 	 
120212A	02h52m25s -18° 01'	3	Swift	y	y	y	 	 	 
120211A	05h51m00s -24° 46'	3	Swift	 	y	 	 	 	2.4
120202A	13h34m04s +22° 48'	3	INTEGRAL	 	y	?	 	 	 
120127A	09h16m34s +15° 53'	120*45	MAXI	 	 	 	 	 	 
120121A	16h37m21s -23° 59'	3	Swift	 	y	 	 	 	 
120119A	08h00m07s -09° 04'	3	Swift	y	y	y	n	 	1.728
120118B	08h19m28s -07° 11'	3	Swift	 	y	y?	 	 	2.943
120118A	13h01m28s -61° 36'	3	INTEGRAL	 	 	 	 	 	 
120116A	01h05m00s +33° 56'	3	Swift	 	y	 	 	 	 
120114A	21h11m37s +57° 02'	3	Swift	 	 	 	 	 	 
120107A	16h25m36s -69° 56'	30	Fermi	y	 	 	 	 	 
120106A	04h24m31s +64° 02'	3	Swift	 	y	 	 	 	 
120102A	18h24m48s +24° 44'	3	Swift	y	y	y	 	 	 
111229A	05h05m08s -84° 43'	3	Swift	 	y	y	 	 	1.3805
111228A	10h00m19s +18° 18'	3	Swift	y	y	y	 	 	0.714
111225A	00h52m24s +51° 35'	3	Swift	 	y	y	 	 	0.297
111222AS	12h39m05s +65° 50'	120	Fermi	y	y	 	 	 	 
111215B	14h49m37s +16° 26'	31*9	IPN	y	y	 	 	 	 
111215A	23h18m12s +32° 29'	3	Swift	 	y	 	y	 	2.06ph
111212A	20h41m37s -68° 37'	3	Swift	 	y	 	 	 	 
111211A	10h12m22s +11° 11'	3	AGILE	y	y	y	 	 	0.478
111210A	12h45m57s -07° 10'	3	Swift	 	y	 	 	 	 
111209A	00h57m26s -46° 47'	3	Swift	 	y	y	y	 	0.677
111208A	19h20m52s +40° 40'	3	Swift	y	y	 	 	 	 
111207A	06h11m42s -39° 30'	3	Swift	 	 	 	 	 	 
111205A	08h57m57s -31° 58'	39*13	IPN	y	y	 	 	 	 
111204A	22h26m34s -31° 24'	3	Swift	 	y	 	 	 	 
111201A	12h41m56s +33° 00'	3	Swift	 	y	 	 	 	 
111129A	20h29m46s -52° 43'	3	Swift	 	y	y	 	 	1.0796
111126A	18h24m24s +51° 28'	3	Swift	 	 	 	 	 	 
111123A	10h19m24s -20° 38'	3	Swift	 	y	y	 	 	3.1516
111121A	10h19m00s -46° 38'	3	Swift	y	y	 	 	 	 
111117AS	00h50m49s +23° 01'	3	Swift	y	y	y	n	 	2.211
111109A	07h52m47s -41° 36'	3	Swift	 	y	 	 	 	 
111107A	08h37m56s -66° 30'	3	Swift	y	y	y	 	 	2.893
111103B	17h42m49s +01° 35'	3	Swift	y	y	?	 	 	 
111103A	21h28m29s -10° 33'	3	Swift	y	 	 	 	 	 
111029A	02h58m46s +57° 05'	3	Swift	 	y	 	 	 	 
111026A	16h17m06s -47° 30'	3	Swift	 	 	 	 	 	 
111024A	14h48m42s +25° 51'	6*18	MAXI	 	 	 	 	 	 
111022B	07h15m48s +49° 40'	3	Swift	 	y	y	?	 	 
111022A	18h23m29s -23° 40'	3	Swift	 	y	 	 	 	 
111020A	19h08m06s -37° 59'	3	Swift	 	y	 	 	 	 
111018A	18h06m00s -03° 52'	3	Swift	 	y	 	 	 	 
111016B	19h22m00s -04° 35'	11*64	IPN	y	 	 	 	 	 
111016A	10h15m13s +27° 29'	3	Swift	 	y	y	 	 	 
111008A	04h01m49s -32° 41'	3	Swift	y	y	y	y	 	4.9898
111005A	14h53m08s -19° 44'	3	Swift	 	 	 	y	 	0.013
110928A	17h11m01s +36° 34'	3	Swift	 	 	 	 	 	 
110921A	19h36m19s +36° 23'	3	Swift	y	y	y?	 	 	 
110918A	02h10m18s -27° 17'	3*20	IPN	y	y	y	 	 	0.982
